PID,Social Media Post,Normalized Claim
1883,"the best way to teach your kids about taxes is by eating 30 per cent of their icecream","AAP FactCheck examined a Facebook post on July 26, 2019 that claimed to be a quote from US actor and comedian Bill Murray. The post by Money Magazine attributes Mr Murray with the following quote: “The best way to teach your kids about taxes is by eating 30 per cent of their ice-cream.” "
1884,"do you know that groundnut can tighten your pussy without side effect try this and thank me later god is wonderful direction procedure get raw groundnut sun dry it for 2 days soak together with the she willback overnight with water drink it in the morning for 4 days stop it on 5 th day to see the results you can re soak it with water every day if the water get finished please do not take too much other wise the place go too tight o except you want it to be broken the second time lol you can still use your google to know more about it and thank me later by mommy who cares gift nyenty follow me on instagram giftnyenty please like our page and share to educate others thanks","groundnut water tightens the vagina"
1885,"they say all this where is the proof we live in a country full of lies and corruption","Says “Nancy Pelosi has been executed.”"
1886,"meet rashid khan from bulandshahr he strongly believes that it is absolutely normal for aftab to have chopped shraddha into 35 pieces where are we headed","Meet Rashid Khan from Bulandshahr. He strongly believes that it is absolutely normal for Aftab to have chopped Shraddha into 35 pieces. Where are we headed?😢😢"
1887,"the trump economy is setting records and has a long way up to gohowever if anyone but me takes over in 2020 i know the competition very well there will be a market crash the likes of which has not been seen before keep america great","""When President Obama was elected, the market crashed … Trump was up 9%, President Obama was down 14.8% and President Bush was down almost 4%. There is an instant reaction on Wall Street."""
1888,"hello everyone i ante meridiem colin mckinlay the chief executive officer of center parcs i know recent times have been tough and as we approach the warmer months i will be sending someone who shareslikes then types done by march 27 th on a 4 night holiday for 8 at a center parcs of their choice sic","The CEO of Center Parcs is giving away a free holiday to someone who likes, shares and comments on a Facebook post."
1889,"nbc did you see the presidents press conference where did you hear about patient yeah yeah we saw his press conference it was on a lot actually nbc and then did you did you seek out chloroquine patient i had it in the house because i used to have koi fish","“Fish tank additive may treat coronavirus.”"
1890,"artile other","A coalition policy enabling first-time buyers to invest up to 40 per cent of their superannuation into a home would only affect around one per cent of the housing market."
1891,"how many times do the british people have to vote to tell the government how worried they are about immigration best concerned about housing education that the numbers entering britainare too great that they feel second class we are constantly ignored and overruled","One million ‘legal migrants’ moved to Britain in 2020/21."
1892,"we and other chapters of antifa around oregon have collaborated to ignite fires around the state to draw attention to the climateemergency antifafires antifariots","""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated."""
1893,"us troops boots on the ground","U.S. combat troops have been deployed to Ukraine"
